Jawaban_Mahasiswa,Kode_Jawaban_Dosen,Nilai_Human_Rated
"Komputer adalah serangkaian ataupun sekelompok mesin elektronik yang terdiri dari ribuan bahkan jutaan komponen yang dapat saling bekerja sama, serta membentuk sebuah sistem kerja yang rapi dan teliti. Sistem ini kemudian dapat digunakan untuk melaksanakan serangkaian pekerjaan secara otomatis, berdasar urutan instruksi ataupun program yang diberikan kepadanya. ",te_1,76.66666667
komputer adalah mesin penghitung ,te_1,11.66666667
mesin yang membantu manusia untuk menjalankan segara pekerjaan ,te_1,25
"Komputer adalah alat komputasi yang diciptakan untuk menghitung tambah, kurang, kali, bagi. ",te_1,10.66666667
alat untuk memudahkan masnusia ,te_1,11.33333333
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. Asal mulanya, pengolahan informasi hampir eksklusif berhubungan dengan masalah aritmetika, tetapi komputer modern dipakai untuk banyak tugas yang tidak berhubungan dengan matematika. ",te_1,25
komputer merupakan alat untuk mengolah data. melakukan perhitungan aritmatika dan melakukan segala pekerjaan yang dapat memudahkan manusia ,te_1,43.33333333
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. ",te_1,29.33333333
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. ",te_1,29.33333333
"Komputer adalah serangkaian ataupun sekelompok mesin elektronik yang terdiri dari ribuan bahkan jutaan komponen yang dapat saling bekerja sama, serta membentuk sebuah sistem kerja yang rapi dan teliti. Sistem ini kemudian dapat digunakan untuk melaksanakan serangkaian pekerjaan secara otomatis, berdasar urutan instruksi ataupun program yang diberikan kepadanya. ",te_1,60
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata komputer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri ",te_1,39.33333333
alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan ,te_1,25
komputer adalah barang elektronik pintar yang semakin tahun dikembangkan dengan menambahkan banyak fitur dan komponen tambahan yang kemudian disatu padukan menjadi bentuk. ,te_1,19.33333333
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. ",te_1,31
alat bantu untuk mempermudah pekerjaan manusia ,te_1,27.66666667
komputer adalah alat untuk mempermudah manusia dalam melakukan aktivitas shari hari ,te_1,28.33333333
Komputer adalah sebuah perangkat yang saat ini digunakan untuk berbagai keperluan. Fungsi komputer sendiri banyak namun pada dasarnya komputer digunakan sebagai alat berhitung dan mengolah informasi. Komputer bisa menerima inputan dari perangkat inputan seperti keyboard dan mouse kemudian mengeluarkan hasil melalui perangkat output seperti printer dan juga monitor ,te_1,28.33333333
serangkaian atau sekelompok mesin elektronik yang terdiri dari ratusan komponen yang saling bekerja sama ,te_1,31.66666667
"Komputer adalah serangkaian ataupun sekelompok mesin elektronik yang terdiri dari ribuan bahkan jutaan komponen yang dapat saling bekerja sama, serta membentuk sebuah sistem kerja yang rapi dan teliti. Sistem ini kemudian dapat digunakan untuk melaksanakan serangkaian pekerjaan secara otomatis, berdasar urutan instruksi ataupun program yang diberikan kepadanya. ",te_1,60
alat yang membantu manusia untuk mengerjakan pekerjaan ,te_1,25
