Answer_ID,Jawaban_Mahasiswa,Kode_Jawaban_Dosen,Nilai_Human_Rated
601,"komputer adalah alat yang sudah sangat kompleks, secara umum komputer bekerja dengan dalam tiga tahap yaitu input, prosess dan output. Dimasa ini, komputer sangat beragam fungsi dan bentuknya, termasuk game console.",te_1,80
602,"Komputer adalah perangkat yang menerima data mentah, kemudian di olah dan hasilnya berupa informasi yang bervariasi, seperti teks, gambar dan lainnya",te_1,83
603,"secara bahasa, computer berasal dari kata compute (computare dalam yunani) yang berarti menghitung
 jadi, komputer adalah perangkat yang mampu melakukan komputasi
 
 komputer adalah perangkat yang terdiri dari banyak komponen dan saling terhubung sehingga dapat melakukan komputasi sistematis dengan sendirinya",te_1,90
604,Komputer adalah mesin atau perangkat elektronik yang didesain untuk menyimpan dan memproses data informasi.,te_1,82
605,"Komputer adalah perangkat elektronik yang menerima, menyimpan dan memproses data menjadi informasi secara matematis atau logis sesuai dengan serangkaian instruksi yang diprogram.",te_1,95
606,"komputer merupakan hardware yang mampu menerima (input), memproses, menyimpan dan menmberikan (output) informasi dari serangkaian perintak yang diberikan.",te_1,90
607,"Komputer adalah sebuah perangkat elektronik yang dirancang untuk menerima, menyimpan, memproses, dan menghasilkan data atau informasi. Komputer dapat melakukan berbagai jenis tugas sesuai dengan perintah yang diberikan. Komputer terdiri dari berbagai komponen, seperti CPU, keyboard, mouse, monitor, dan lainnya.",te_1,90
608,"komputer adalah sebuah kelompok perangkat keras yang terdiri dari input, output, pengelola input serta pengelola output yang saling bekerja sama untuk melakukan perintah yang diminta oleh user.",te_1,80
609,"Komputer adalah suatu perangkat elektronik yang digunakan untuk mengolah data. Komputer terdiri dari beberapa operasi yaitu input, output, proses, dan penyimpanan",te_1,78
610,Sebuah alat yang mengolah input dan peralatan output yang memberikan informasi serta bekerja secara otomatis,te_1,72
611,komputer adalah alat elektronik yang dapat membantu manusia dalam mempermudah urusannya dalam pengelolaan informasi dan data,te_1,72
612,"komputer merupakan sebuah alat yang dapat menerima, mengolah, dan menghasilkan data menjadi informasi",te_1,78
