Jawaban_Mahasiswa,Kode_Jawaban_Dosen,Nilai_Human_Rated,Nilai_Huruf
"Komputer adalah serangkaian ataupun sekelompok mesin elektronik yang terdiri dari ribuan bahkan jutaan komponen yang dapat saling bekerja sama, serta membentuk sebuah sistem kerja yang rapi dan teliti. Sistem ini kemudian dapat digunakan untuk melaksanakan serangkaian pekerjaan secara otomatis, berdasar urutan instruksi ataupun program yang diberikan kepadanya. ",te_1,77,B
"Komputer adalah serangkaian ataupun sekelompok mesin elektronik yang terdiri dari ribuan bahkan jutaan komponen yang dapat saling bekerja sama, serta membentuk sebuah sistem kerja yang rapi dan teliti. Sistem ini kemudian dapat digunakan untuk melaksanakan serangkaian pekerjaan secara otomatis, berdasar urutan instruksi ataupun program yang diberikan kepadanya. ",te_1,60,B
"Komputer adalah serangkaian ataupun sekelompok mesin elektronik yang terdiri dari ribuan bahkan jutaan komponen yang dapat saling bekerja sama, serta membentuk sebuah sistem kerja yang rapi dan teliti. Sistem ini kemudian dapat digunakan untuk melaksanakan serangkaian pekerjaan secara otomatis, berdasar urutan instruksi ataupun program yang diberikan kepadanya. ",te_1,60,B
komputer merupakan alat untuk mengolah data. melakukan perhitungan aritmatika dan melakukan segala pekerjaan yang dapat memudahkan manusia ,te_1,43,C
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. Asal mulanya, pengolahan informasi hampir eksklusif berhubungan dengan masalah aritmetika, tetapi komputer modern dipakai untuk banyak tugas yang tidak berhubungan dengan matematika. ",te_1,41,C
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. Asal mulanya, pengolahan informasi hampir eksklusif berhubungan dengan masalah aritmetika, tetapi komputer modern dipakai untuk banyak tugas yang tidak berhubungan dengan matematika. ",te_1,40,C
mesin yang membantu manusia untuk menjalankan segara pekerjaan ,te_1,25,D
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. Asal mulanya, pengolahan informasi hampir eksklusif berhubungan dengan masalah aritmetika, tetapi komputer modern dipakai untuk banyak tugas yang tidak berhubungan dengan matematika. ",te_1,25,D
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. ",te_1,29,D
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. ",te_1,29,D
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata komputer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri ",te_1,39,D
alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan ,te_1,25,D
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. ",te_1,31,D
alat bantu untuk mempermudah pekerjaan manusia ,te_1,28,D
komputer adalah alat untuk mempermudah manusia dalam melakukan aktivitas shari hari ,te_1,28,D
Komputer adalah sebuah perangkat yang saat ini digunakan untuk berbagai keperluan. Fungsi komputer sendiri banyak namun pada dasarnya komputer digunakan sebagai alat berhitung dan mengolah informasi. Komputer bisa menerima inputan dari perangkat inputan seperti keyboard dan mouse kemudian mengeluarkan hasil melalui perangkat output seperti printer dan juga monitor ,te_1,28,D
serangkaian atau sekelompok mesin elektronik yang terdiri dari ratusan komponen yang saling bekerja sama ,te_1,32,D
alat yang membantu manusia untuk mengerjakan pekerjaan ,te_1,25,D
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. ",te_1,30,D
"Komputer adalah alat yang dapat digunakan untuk mengolah suatu data menurut prosedur yang telah dirumuskan dalam komputer itu sendiri. komputer juga dapat digunakan untuk membantu perhitungan aritmetika, serta untuk pengolahan suatu informasi. ",te_1,32,D
komputer adalah alat pengolah data menurut prosedur yang telah di rumuskan ,te_1,25,D
"komputer adalah alat elektronik yang memiliki komputasi yang sangat tinggi dengan spesifikasi seperti menggunakan windows 10 untuk kerjaan kantor, bermain game, menonton film. ",te_1,22,D
"Komputer adalah alat bantu hitung manusia, yang sekarang sudah dikembangkan dapat membantu banyak tugas manusia. ",te_1,30,D
"alat elektronik yang dapat menghitung dan menganalisa data secara cepat dan cermat, dapat juga menjalankan aplikasi multimedia. ",te_1,21,D
