StudentID,Answer,Score
1,"Bluetooth adalah suatu peralatan media komunikasi yang dapat digunakan untuk menghubungkan sebuah perangkat komunikasi dengan perangkat komunikasi lainnya, bluetooth umumnya digunakan di handphone, komputer atau pc, tablet, dan lain-lain. ",30
2,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,63.33333333
3,untuk menstranfer suatu file ,22.66666667
4,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,63.33333333
5,transfer antar hape ,15
6,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,51.66666667
7,Bluetooth adalah jaringan pribadi tanpa kabel. dapat dipakai untuk tukar-menukar informasi antar perangkat ,56.66666667
8,Bluetooth adalah teknologi nirkabel (tanpa kabel) yang dapat menyambungkan beberapa perangkat melalui gelombang radio frekuensi rendah. Bluetooth menggunakan gelombang radio yang omni direksional dan dapat menembus dinding. Jadi perangkat yang memiliki bluetooth pada area tertentu akan saling tersambung tanpa digabungkan dengan seutas kabel. Bluetooth menyediakan transfer data 720 Kbps dalam jarak 40 meter. ,53.33333333
9,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. Spesifiksi dari peralatan Bluetooth ini dikembangkan dan didistribusikan oleh kelompok Bluetooth Special Interest Group. ,70
10,"Bluetooth adalah suatu peralatan media komunikasi yang dapat digunakan untuk menghubungkan sebuah perangkat komunikasi dengan perangkat komunikasi lainnya, bluetooth umumnya digunakan di handphone, komputer atau pc, tablet, dan lain-lain. Fungsi bluetooth yaitu untuk mempermudah berbagi atau sharing file, audio, menggantikan penggunaan kabel dan lain-lain. Saat ini sudah banyak sekali perangkat yang menggunakan bluetooth. ",66
11,Bluetooth adalah teknologi jaringan tanpa kabel yang berjarak pendek untuk menghubungkan 2 alat ,29
12,Jaringan yang digunakan untuk pengiriman data ,18.66666667
13,suatu alat untuk tranfer file yang terbatas jarak. ,25
14,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,51.66666667
15,teknologi sinyal untuk menghubungkan perangkat dalam pengiriman dan penerimaan data ,30
16,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. ,31
17,"Suatu peralatan media komunikasi yang dapat digunakan untuk menghubungkan sebuah perangkat komunikasi dengan perangkat komunikasi lainnya, bluetooth umumnya digunakan di handphone, komputer atau pc, tablet, dan lain-lain. ",29.33333333
18,menghubungkan dan dapat dipakai untuk melakukan tukar menukar informasi di antara peralatan peralatan ,46.66666667
19,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. Spesifiksi dari peralatan Bluetooth ini dikembangkan dan didistribusikan oleh kelompok Bluetooth Special Interest Group. ,56.66666667
20,menstransfer data melalui ponsel ,15
21,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,53.33333333
22,Bluetooth merupakan media untuk transfer data ,26
23,Bluetooth adalah suatu peralatan media komunikasi yang dapat digunakan untuk menghubungkan sebuah perangkat komunikasi dengan perangkat komunikasi lainnya. ,29.33333333
24,Blue = biru tooth= gigi jadi gigi biru ,1
25,bluetooth adalah spesifikasi industri untuk untuk jaringgan dengan kawasan pribadi ,19
26,bluetooth adalah spesifikasi industri untuk jaringan dengan kawasan pribadi / PAN tanpa kabel yang berfungsi untuk melakukan tukar menukar informasi antara gadget yang memiliki konektivitas bluetooth. ,46
27,Bluetooth adalah Gigi Biru atau biasa digunakan untuk menghubungan perangkat elektronik yang ingin bertukar data. ,27.66666667
28,penghubung nirkabel antar device dengan jarak jangkauan yang terbatas dan sempit. ,9.333333333
29,spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,40
30,fitur transfer data dengan jarak tertentu tanpa koneksi internet ,21
31,Bluetooth adalah media pengiriman yang menggunakan frequensi tertentu ,23.33333333
32,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,48.33333333
33,spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,48.33333333
34,Bluetuooth suatu software yang di gunakan untuk mentrasnfer data tanpa menggunakan peralatan - peralatan bantuan seperti kabel. ,31
35,Blue=Biru Tooth=Gigi Jadi Gigi Biru ,1
36,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan ,31.66666667
37,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel ,27.66666667
38,media share data tanpa kabel ,21.66666667
39,bluetooth adalah spesifikasi industri untuk jaringan pribadi tanpa kabel ,25.33333333
40,Bluetooth adalah sebuah media yang di gunakan untuk berbagi (share) data. ,26
41,adalah sebuah sisstem yang berfungsi untuk transfer file atau data tanpa melalui kabel ,26.66666667
42,Bluetooth adalah spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,41.66666667
43,digunakan untuk mengirim/ mentrasfer data atau file ,27.66666667
44,"Bluetooth adalah suatu peralatan media komunikasi yang dapat digunakan untuk menghubungkan sebuah perangkat komunikasi dengan perangkat komunikasi lainnya, bluetooth umumnya digunakan di handphone, komputer atau pc, tablet, dan lain-lain. Fungsi bluetooth yaitu untuk mempermudah berbagi atau sharing file, audio, menggantikan penggunaan kabel dan lain-lain. Saat ini sudah banyak sekali perangkat yang menggunakan bluetooth. ",48.33333333
45,suatu teknologi untuk menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,26.66666667
46,bluetooth adalah personal area network yang terhubung dengan jarak beberapa meter untuk pengaksesan ke hubungan jaringan. menggunakan teknologi infra red ,18.33333333
47,spesifikasi industri untuk jaringan kawasan pribadi (personal area networks atau PAN) tanpa kabel. Bluetooth menghubungkan dan dapat dipakai untuk melakukan tukar-menukar informasi di antara peralatan-peralatan. ,41.66666667
48,"sebagai teknologi komunikasi wireless (tanpa kabel) yang beroperasi dalam pita frekuensi 2,4 GHz unlicensed ISM (Industrial, Scientific and Medical) dengan menggunakan sebuah frequency hopping tranceiver yang mampu menyediakan layanan komunikasi data dan suara secara real-time antara host-host bluetooth dengan jarak jangkauan layanan yang terbatas yakni sekitar 10 meter. ",26.66666667
49,digunakan untuk transfer data berupa file dan data ,29.33333333
50,bluetooth adalah koneksi ke bluetooth lain tanpa kabel ,22.66666667
